type,size,time
comparable,1,11.507
comparable,50,5479.002
comparable,100,11609.386
comparable,500,91693.993
comparable,1000,252276.953
comparable,10000,3686658.223
comparable,25000,13344518.934
comparable,50000,28947167.714
comparable,75000,48755767.714
comparable,100000,66062626.125
comparable,150000,114163048.889
comparable,200000,160034683.857
non-comparable,1,11.276
non-comparable,50,19305.912
non-comparable,100,74312.588
non-comparable,500,2253508.317
non-comparable,1000,9893163.647
non-comparable,10000,1683110242.000
non-comparable,25000,12880649807.000
non-comparable,50000,92109322977.000
non-comparable,75000,300222705532.000
non-comparable,100000,632434197049.000
non-comparable,150000,1634156408105.000
non-comparable,200000,3024079023237.000
java 7,1,12.557
java 7,50,5588.936
java 7,100,21259.873
java 7,500,584719.878
java 7,1000,2361111.117
java 7,10000,194573507.692
java 7,25000,1247632160.000
java 7,50000,5029241000.000
java 7,75000,12220774600.000
java 7,100000,22579315600.000
java 7,150000,54292533200.000
java 7,200000,99357551800.000
