java,size,time
java 6,1000,1931634.601
java 6,10000,172056271.763
java 6,25000,1124975538.440
java 6,50000,4580893238.500
java 6,75000,10977656808.000
java 6,100000,22019384033.000
java 6,150000,60411107851.200
java 6,200000,109694806276.400
java 7,1,9.471
java 7,1000,2049179.356
java 7,10000,194263597.062
java 7,25000,1223330855.920
java 7,50000,4738248388.800
java 7,75000,13446065672.200
java 7,100000,24496043250.200
java 7,150000,61568261391.400
java 7,200000,103814620471.000
java 8,1,11.440
java 8,1000,163476.496
java 8,10000,2339982.587
java 8,25000,7775987.507
java 8,50000,16999481.954
java 8,75000,25960890.208
java 8,100000,37741043.032
java 8,150000,62764186.005
java 8,200000,84648199.214
